Treatment,Metadata_treatment_old,Metadata_treatment_new,Drug_name,Metadata_dil_factor,Metadata_concentration_uM,drug_conc,Cell_count_poc,cell_count_POC_C2,cell_count_POC_C1,cell_count_POC_B,V1,V2,V3
treated,Flavopiridol,alvocidib,alvocidib,1,20,alvocidib_20_1,0.152858326,0.187919463,0.256508423,0.372486772,1.510684641,-1.32169747,-4.982969751
treated,Flavopiridol,alvocidib,alvocidib,0.25,5,alvocidib_5_0.25,0.142087821,0.967934377,0.252679939,1.293121693,1.374317037,-1.499168589,-4.171423591
treated,MG-101,MG-101,MG-101,0.5,10,MG-101_10_0.5,0.14043082,0.131991051,0.173047473,0.242328042,1.608084887,-1.233259768,-5.28977822
treated,MG-101,MG-101,MG-101,1,20,MG-101_20_1,0.089892295,NA,0.071209801,0.15978836,1.539613844,-1.082129434,-5.715727429
treated,MG-101,MG-101,MG-101,0.25,5,MG-101_5_0.25,0.197597349,0.427293065,0.443338438,0.346031746,1.594554075,-1.63081518,-4.661828288
treated,Bendamustine,bendamustine,bendamustine,0.0625,1.25,bendamustine_1.25_0.0625,0.264705882,0.507829978,0.60719755,0.373544974,1.130488349,-1.693148714,-4.437841642
treated,Bendamustine,bendamustine,bendamustine,0.5,10,bendamustine_10_0.5,0.132974316,0.178970917,0.264165391,0.422222222,1.605411428,-1.642730736,-4.604845764
treated,Bendamustine,bendamustine,bendamustine,0.125,2.5,bendamustine_2.5_0.125,0.10024855,0.248322148,0.260336907,0.371428571,1.518542101,-1.601963839,-4.426537035
treated,Bendamustine,bendamustine,bendamustine,1,20,bendamustine_20_1,0.161971831,0.198359433,0.284073507,0.453968254,1.663284141,-1.401253365,-4.862655634
treated,Bendamustine,bendamustine,bendamustine,0.25,5,bendamustine_5_0.25,0.145401823,0.173750932,0.277182236,0.366137566,1.560099839,-1.588138736,-4.565863336
treated,Mitomycin C,mitomycin-c,mitomycin-c,1,20,mitomycin-c_20_1,0.277961889,0.331841909,0.379785605,0.279365079,1.367244011,-1.050263797,-5.233407109
treated,Trichostatin A (TSA),trichostatin-a,trichostatin-a,0.5,10,trichostatin-a_10_0.5,0.258077879,0.428038777,0.516845329,0.227513228,1.463981427,-1.671767759,-4.798155836
treated,Trichostatin A (TSA),trichostatin-a,trichostatin-a,1,20,trichostatin-a_20_1,0.142502071,0.219985086,0.313935681,0.085714286,1.574971964,-1.151762517,-5.386638147
treated,"Vorinostat (SAHA, MK0683)",vorinostat,vorinostat,1,20,vorinostat_20_1,0.303776683,0.281009879,0.207658321,0.291970803,1.314737745,-1.584862217,-4.348089436
treated,Fluvastatin,fluvastatin,fluvastatin,1,20,fluvastatin_20_1,0.441297209,0.783205269,0.84904271,0.220020855,0.439423159,-1.769437889,-4.526968816
treated,Tanespimycin (17-AAG),tanespimycin,tanespimycin,0.5,2.5,tanespimycin_2.5_0.5,0.306650246,0.48298573,0.500736377,0.143899896,1.285142506,-1.417195084,-4.748716738
treated,Tanespimycin (17-AAG),tanespimycin,tanespimycin,1,5,tanespimycin_5_1,0.040640394,NA,0.073637703,0.148070907,1.531155547,-0.959619201,-5.972417066
treated,Anisomycin,anisomycin,anisomycin,0.03125,0.625,anisomycin_0.625_0.03125,0.501642036,1.165751921,0.601620029,0.277372263,1.30779409,-1.609494687,-4.432177004
treated,Anisomycin,anisomycin,anisomycin,0.0625,1.25,anisomycin_1.25_0.0625,0.185550082,0.686608123,0.226067747,0.079249218,1.441310655,-0.995181579,-5.541742398
treated,Anisomycin,anisomycin,anisomycin,0.5,10,anisomycin_10_0.5,0.035714286,NA,0.061119293,0.194994786,1.504977788,-0.988651364,-5.95634223
treated,Anisomycin,anisomycin,anisomycin,0.125,2.5,anisomycin_2.5_0.125,0.040229885,NA,0.072164948,0.032325339,1.511863259,-1.052966804,-5.84020033
treated,Anisomycin,anisomycin,anisomycin,1,20,anisomycin_20_1,0.052955665,0.130625686,0.165684831,0.100104275,1.461375954,-1.031169774,-5.331593259
treated,Anisomycin,anisomycin,anisomycin,0.25,5,anisomycin_5_0.25,0.02134647,NA,0.068483063,0.133472367,1.511822146,-0.992754118,-5.955775662
treated,Nocodazole,nocodazole,nocodazole,1,20,nocodazole_20_1,0.196354598,0.314690529,0.36906585,0.380952381,1.695393268,-1.717858377,-4.583226675
treated,MLN-0128,MLN0128,MLN0128,1,5,MLN0128_5_1,0.204433498,0.242041712,0.270986745,0.042752868,1.436135587,-1.087282252,-5.271082415
treated,Actinomycin D,dactinomycin,dactinomycin,0.5,10,dactinomycin_10_0.5,0.380541872,0.601536773,0.660530191,0.242961418,1.293851852,-1.508700053,-4.621063242
treated,Actinomycin D,dactinomycin,dactinomycin,1,20,dactinomycin_20_1,0.229474548,0.372667398,0.417525773,0.138686131,1.470845391,-1.22193401,-5.078265426
treated,Aminacrine,9-aminoacridine,9-aminoacridine,0.5,10,9-aminoacridine_10_0.5,0.225779967,NA,0.058910162,0.069864442,1.491000052,-1.012816246,-5.680135493
treated,Aminacrine,9-aminoacridine,9-aminoacridine,1,20,9-aminoacridine_20_1,0.25410509,NA,0.051546392,0.081334724,1.507471212,-1.013689513,-5.840134816
treated,Aminacrine,9-aminoacridine,9-aminoacridine,0.25,5,9-aminoacridine_5_0.25,0.383415435,0.487376509,0.239322533,0.104275287,1.341804788,-0.896359678,-5.465306952
treated,Cytochalasin D,cytochalasin-d,cytochalasin-d,0.5,0.025,cytochalasin-d_0.025_0.5,0.463054187,0.297475302,0.374079529,0.655891554,0.503549543,-2.099308126,-5.366106792
treated,Cytochalasin D,cytochalasin-d,cytochalasin-d,1,0.05,cytochalasin-d_0.05_1,0.403119869,0.265093304,0.35640648,0.601668405,0.508012215,-2.084365183,-5.361566215
treated,DTT,DTT,DTT,0.5,10,DTT_10_0.5,0.201149425,0.527442371,0.477172312,0.057351408,1.393283237,-0.978091926,-5.386461914
treated,DTT,DTT,DTT,1,20,DTT_20_1,0.110426929,0.323271131,0.456553756,0.058394161,1.399016923,-1.084169219,-5.167108155
treated,Latrunculin A,latrunculin-a,latrunculin-a,0.015625,0.000781,latrunculin-a_0.000781_0.015625,0.372331691,0.260702525,0.3365243,0.660062565,0.49733994,-2.133303838,-5.434772877
treated,Latrunculin A,latrunculin-a,latrunculin-a,0.25,0.0125,latrunculin-a_0.0125_0.25,0.277914614,0.352908891,0.378497791,0.311783107,0.858383885,-0.832702147,-4.78675398
treated,Latrunculin A,latrunculin-a,latrunculin-a,0.5,0.025,latrunculin-a_0.025_0.5,0.193760263,0.306256861,0.304123711,0.155370177,0.977368931,-0.855571109,-4.855504402
treated,Latrunculin A,latrunculin-a,latrunculin-a,1,0.05,latrunculin-a_0.05_1,0.121100164,0.383095499,0.195876289,0.063607925,1.412881352,-0.981716845,-5.583278356
treated,LTX-315,LTX-315,LTX-315,0.5,10,LTX-315_10_0.5,0.149958575,0.803131991,0.470137825,0.507936508,1.416320329,-1.562892911,-4.356503006
treated,LTX-315,LTX-315,LTX-315,1,20,LTX-315_20_1,0.037282519,NA,0.032924962,0.059259259,1.537276879,-1.032467523,-5.868948652
treated,Desipramine,desipramine,desipramine,0.5,10,desipramine_10_0.5,0.243431856,0.31284303,0.319587629,0.114702815,1.5100901,-1.132386736,-5.169997232
treated,Desipramine,desipramine,desipramine,1,20,desipramine_20_1,0.189244663,0.31064764,0.332842415,0.051094891,1.549524143,-1.03234554,-5.292295347
treated,Desipramine,desipramine,desipramine,0.25,5,desipramine_5_0.25,0.379310345,0.549396268,0.594992636,0.150156413,1.334288954,-1.080181052,-5.096853408
treated,Sirtinol,sirtinol,sirtinol,0.5,10,sirtinol_10_0.5,0.192118227,0.278265642,0.357142857,0.373305527,1.719293893,-1.545902368,-4.683189651
treated,Sirtinol,sirtinol,sirtinol,1,20,sirtinol_20_1,0.170361248,0.265642151,0.366715758,0.338894682,1.672877202,-1.703204502,-4.584776654
treated,Sirtinol,sirtinol,sirtinol,0.25,5,sirtinol_5_0.25,0.194581281,0.269484083,0.337997054,0.370177268,1.579940914,-1.647369459,-4.6121712
treated,Daunorubicin HCl,daunorubicin,daunorubicin,1,5,daunorubicin_5_1,0.183098592,0.319164802,0.472434916,0.152380952,1.521406022,-1.189703962,-5.288621713
treated,Amsacrine,amsacrine,amsacrine,0.5,10,amsacrine_10_0.5,0.358784893,0.37870472,0.402061856,0.203336809,0.982793729,-0.85655265,-4.752257481
treated,Amsacrine,amsacrine,amsacrine,1,20,amsacrine_20_1,0.328817734,0.384193194,0.373343152,0.14181439,1.124161261,-0.95205242,-4.909350011
