"","dactinomycin","9-aminoacridine","amsacrine","anisomycin","belinostat","bendamustine","brefeldin-a","cisplatin","cytochalasin-d","daunorubicin","desipramine","digitoxin","doxorubicin","DTT","dynasore","emetine","alvocidib","floxuridine","fluvastatin","gemcitabine","haloperidol","irinotecan","latrunculin-a","leupeptin","lomustine","methotrexate","MG-101","mitomycin-c","mitoxantrone","monensin","nocodazole","paclitaxel","perifosine","puromycin","mepacrine","sirolimus","deforolimus","rolipram","sirtinol","tanespimycin","tetrandrine","tolfenamic-acid","trichostatin-a","vincristine","vorinostat","amygdalin","antimycin-a","bleomycin","BTB06584","chlortetracycline","CK-636","CPI-613","eliglustat","erastin","FCCP","golgicide-A","LTX-315","mdivi-1","MLN0128","NSC-697923","oligomycin-a","picropodophyllin","pifithrin-mu","selinexor","tunicamycin"
"mitomycin-c","0.714816358","0.533450239","0.578490773","0.616102475","0.589505688","0.600583893","0.608986756","0.501965591","0.688824949","0.648702157","0.577123118","0.608343553","0.650885461","0.517958742","0.564190515","0.632786776","0.633786557","0.62906408","0.633693593","0.631291168","0.593052264","0.688244417","0.661935204","0.593873248","0.560548955","0.627084895","0.588351595","1","0.609416619","0.580394894","0.603710929","0.667524981","0.561115051","0.672523623","0.601209996","0.684080877","0.686687662","0.602409825","0.582785378","0.736398482","0.615933908","0.56227774","0.578214791","0.702211597","0.574759745","0.598317031","0.631023843","0.707644408","0.577907048","0.68151084","0.599100343","0.562846178","0.639315247","0.631702592","0.537410183","0.631164581","0.645572137","0.589031639","0.631564233","0.571539869","0.632278799","0.622602891","0.52768121","0.611849276","0.68151084"
"mitoxantrone","0.62190531","0.557289422","0.593958582","0.606628197","0.579023396","0.609141155","0.568702141","0.501032534","0.611239176","0.632786776","0.614209892","0.559481434","0.632761673","0.524868533","0.604924413","0.608296545","0.617149224","0.59022302","0.608636958","0.592351549","0.598643954","0.62120068","0.604693501","0.572478778","0.54939753","0.619270649","0.561873332","0.609416619","1","0.555763261","0.609737229","0.609047685","0.547721208","0.623520064","0.605777334","0.606239822","0.606348612","0.601904135","0.617229667","0.598938195","0.60843955","0.597301838","0.597179202","0.626924968","0.592566719","0.579309414","0.64248845","0.625219714","0.59222222","0.626509642","0.591948034","0.563471206","0.615108596","0.63116061","0.567907171","0.619701201","0.621070748","0.618863143","0.598631566","0.584070833","0.578239003","0.603387689","0.542960412","0.580709872","0.609332921"
"monensin","0.577473745","0.521378387","0.545142718","0.58806297","0.543824149","0.564638197","0.602582537","0.501607085","0.594603558","0.60762368","0.544425678","0.755773841","0.609605453","0.545051146","0.54861207","0.56650553","0.572181776","0.590422254","0.573091163","0.599952983","0.568643183","0.57791756","0.625076757","0.559293181","0.544340259","0.570102227","0.557828959","0.580394894","0.555763261","1","0.550028013","0.626769693","0.561231024","0.585338286","0.552799259","0.640574386","0.633394599","0.572115918","0.555561682","0.59513952","0.559985563","0.54127791","0.555243935","0.582193406","0.564422195","0.711344681","0.620164178","0.590612045","0.551119025","0.588534951","0.548257039","0.592959876","0.580708456","0.559164447","0.537126324","0.568322843","0.564152577","0.552282478","0.556683635","0.548277708","0.684460254","0.600770994","0.520349896","0.556382982","0.622075606"
"nocodazole","0.622346295","0.553451792","0.584715383","0.590309607","0.578304402","0.594404293","0.555776724","0.502013164","0.605111187","0.615755359","0.576010361","0.559143434","0.615874893","0.517969243","0.567683177","0.596784384","0.604352753","0.580373585","0.601729712","0.58168494","0.58062809","0.619521791","0.589908087","0.554230787","0.538299683","0.606639593","0.542738616","0.603710929","0.609737229","0.550028013","1","0.61382652","0.539436037","0.622378454","0.583089756","0.588648699","0.590845837","0.58964193","0.59565374","0.601223478","0.601752185","0.577751169","0.587003515","0.621389163","0.553882172","0.581347267","0.599256549","0.630782459","0.597629047","0.60762368","0.641642209","0.562986086","0.600546485","0.609129141","0.550292894","0.606658258","0.635945522","0.594407329","0.625565269","0.573663193","0.572322336","0.602364011","0.545128569","0.594784035","0.601590601"
"paclitaxel","0.694231879","0.536618166","0.583688456","0.650307799","0.591984199","0.596029739","0.640620513","0.50134773","0.719678133","0.691608359","0.595812924","0.660409918","0.693948127","0.524291501","0.585681374","0.645725206","0.656566525","0.623654123","0.654086363","0.625068363","0.609720129","0.700274613","0.678769568","0.56490038","0.556741763","0.642554484","0.562746293","0.667524981","0.609047685","0.626769693","0.61382652","1","0.552438163","0.679364255","0.598189743","0.70481303","0.699387005","0.627578943","0.636749246","0.683827594","0.637610047","0.580804082","0.604705898","0.704067333","0.57702822","0.675853568","0.703857598","0.699880792","0.596957582","0.69279842","0.635957894","0.587289137","0.645003122","0.637340498","0.543661861","0.637843673","0.637860105","0.612441843","0.625147411","0.576734834","0.677843623","0.662002227","0.534381126","0.604483647","0.678706726"
"perifosine","0.550274297","0.512762846","0.536516675","0.571294954","0.542042272","0.55380619","0.558590888","0.5","0.560353854","0.546799931","0.553439229","0.559512353","0.546169007","0.549905226","0.534233148","0.564784332","0.562834197","0.568631927","0.551939441","0.574349177","0.602342815","0.547895549","0.561091007","0.59036104","0.578064478","0.552278914","0.602582537","0.561115051","0.547721208","0.561231024","0.539436037","0.552438163","1","0.553545646","0.571117883","0.566637476","0.574028858","0.571208913","0.556351964","0.560754492","0.548579239","0.535632375","0.54882809","0.550580107","0.570190587","0.55019725","0.558152075","0.548650775","0.543323382","0.558381107","0.540427067","0.559239613","0.574536995","0.546049182","0.530278231","0.553152426","0.559278172","0.546716939","0.546004266","0.534922798","0.5569705","0.547382412","0.523897874","0.545146751","0.5599094"
"puromycin","0.713856894","0.541305942","0.59642464","0.662483355","0.585654012","0.616696079","0.573637651","0.502960807","0.670726632","0.689016721","0.594134682","0.592809115","0.689430042","0.521196813","0.587255843","0.661903169","0.653036212","0.615572207","0.647616642","0.632251925","0.608254757","0.714308841","0.639672517","0.579562665","0.556692317","0.668133213","0.569555563","0.672523623","0.623520064","0.585338286","0.622378454","0.679364255","0.553545646","1","0.620202313","0.661623156","0.667007737","0.645214883","0.61856233","0.665190934","0.649051335","0.565334708","0.588500075","0.735814291","0.566711097","0.615018323","0.651375013","0.742754371","0.600640637","0.669573115","0.633969592","0.574724284","0.684401486","0.667830177","0.55116236","0.657156524","0.669555985","0.607792202","0.657529967","0.582785378","0.607792202","0.655152117","0.535338074","0.630162994","0.683050055"
"mepacrine","0.611438638","0.641217194","0.684267143","0.614921837","0.583363473","0.619082675","0.554170503","0.502404195","0.608797194","0.60742609","0.619111291","0.559876261","0.60602452","0.529928994","0.579720439","0.625001514","0.610998872","0.588097386","0.612511238","0.591392355","0.611527139","0.614570375","0.590612045","0.594046862","0.565959589","0.617012143","0.58691109","0.601209996","0.605777334","0.552799259","0.583089756","0.598189743","0.571117883","0.620202313","1","0.604376372","0.60635988","0.608579011","0.601890811","0.592033206","0.600581537","0.586014243","0.585220876","0.618273486","0.632955488","0.572603654","0.615242811","0.607998131","0.589938457","0.595978972","0.614515226","0.56090531","0.617900939","0.630723037","0.58084141","0.62889706","0.644598053","0.617430145","0.590246217","0.572827337","0.566874926","0.585506871","0.539028603","0.578167261","0.603016871"
"sirolimus","0.675155151","0.539274196","0.582186799","0.631249912","0.579236375","0.594775597","0.651594318","0.5015496","0.723579074","0.647581793","0.578180346","0.672285393","0.6491025","0.526225371","0.5636375","0.610938696","0.633036875","0.627736626","0.643574516","0.630204787","0.606479162","0.678890122","0.708391006","0.587289137","0.558519919","0.609506827","0.589182494","0.684080877","0.606239822","0.640574386","0.588648699","0.70481303","0.566637476","0.661623156","0.604376372","1","0.958392961","0.600237534","0.588779907","0.713740074","0.599589986","0.559823315","0.592301229","0.683430743","0.581314703","0.623413313","0.661143531","0.682940071","0.575711846","0.689146254","0.596743732","0.575426155","0.642004688","0.623351137","0.540522297","0.629305227","0.632687002","0.588105277","0.610644993","0.563543103","0.711505257","0.627913832","0.528478994","0.603157438","0.69016565"
"deforolimus","0.680919874","0.537958288","0.581488184","0.629464803","0.580253047","0.598631566","0.643653627","0.501461389","0.718189217","0.647307497","0.579278396","0.663408609","0.649603621","0.526342601","0.566000659","0.611729086","0.632302194","0.629960525","0.651479408","0.631382144","0.602641819","0.686242377","0.703409622","0.585309957","0.557055716","0.612701009","0.584977445","0.686687662","0.606348612","0.633394599","0.590845837","0.699387005","0.574028858","0.667007737","0.60635988","0.958392961","1","0.602291487","0.585340339","0.71012011","0.603764913","0.557652945","0.591111701","0.69183477","0.578714135","0.621966108","0.661399918","0.691921411","0.575266607","0.689599095","0.596352514","0.574055446","0.639941822","0.627728358","0.540735264","0.630385637","0.631939443","0.590393046","0.61526967","0.565136934","0.702933979","0.62731968","0.529253661","0.606587586","0.692595765"
"rolipram","0.624305039","0.544462665","0.590316446","0.678658779","0.586391024","0.585837085","0.570135383","0.501148913","0.643403698","0.633354561","0.603501211","0.570688613","0.632420946","0.525138266","0.590183073","0.702211597","0.624042334","0.591781809","0.596799879","0.599030095","0.627707945","0.618349115","0.58944741","0.579257296","0.571294954","0.617224572","0.578321944","0.602409825","0.601904135","0.572115918","0.58964193","0.627578943","0.571208913","0.645214883","0.608579011","0.600237534","0.602291487","1","0.620990747","0.593332856","0.671166339","0.576095368","0.602190846","0.625800791","0.577848373","0.601916327","0.620825851","0.615037262","0.598814473","0.623288651","0.613674933","0.590325813","0.753706423","0.619977033","0.572299562","0.619739794","0.649070853","0.609506827","0.590824958","0.579656505","0.580064693","0.656495553","0.543723072","0.584333088","0.609778345"
"sirtinol","0.622002861","0.560031642","0.591289058","0.628964383","0.592947801","0.589758996","0.548764576","0.501252735","0.611480335","0.620928906","0.613512819","0.555888038","0.619270649","0.524689718","0.642549032","0.644969842","0.611899619","0.578639047","0.594256733","0.589910743","0.620280191","0.609506827","0.580419361","0.575845364","0.567259561","0.63024487","0.566441943","0.582785378","0.617229667","0.555561682","0.59565374","0.636749246","0.556351964","0.61856233","0.601890811","0.588779907","0.585340339","0.620990747","1","0.593292433","0.63289595","0.604457469","0.618167024","0.605256417","0.586383697","0.587916923","0.634721457","0.604218749","0.597778625","0.609413695","0.630276335","0.574137457","0.628198729","0.629960525","0.568128834","0.614566338","0.613726826","0.616234819","0.588077897","0.581358502","0.563175581","0.60001052","0.546004266","0.574794164","0.587332152"
