"","WellId","Metadata_well_1","Plate_number","Drug_name","Treatment","Metadata_dil_factor","Mitoxantrone_uM","PlateNumber","Row","Column","ObjectTotalIntenCh1"
"675042","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,32463222
"675043","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,17375167
"675044","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,10273074
"675045","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20295384
"675046","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,40138034
"675047","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,6949551
"675048","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,21466829
"675049","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,15669623
"675050","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,17615056
"675051","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20314076
"675052","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,17667165
"675053","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,10201853
"675054","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,32117677
"675055","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19801798
"675056","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18372342
"675057","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18012498
"675058","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19831153
"675059","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,14776071
"675060","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11620982
"675061","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,21943443
"675062","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,15454294
"675063","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,22921282
"675064","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20314250
"675065","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,40098175
"675066","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,8308303
"675067","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18565920
"675068","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,14296564
"675069","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,4221697
"675070","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,21268564
"675071","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,8773170
"675072","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,17241727
"675073","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,22193012
"675074","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20457806
"675075","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18142822
"675076","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19125650
"675077","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20334972
"675078","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9781085
"675079","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,11125481
"675080","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,22003603
"675081","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,16545914
"675082","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,16524829
"675083","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,17269172
"675084","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18969123
"675085","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,34640038
"675086","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,13583424
"675087","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20722678
"675088","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,15239940
"675089","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20554950
"675090","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,16280294
"675091","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19146590
"675092","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,12805750
"675093","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19972034
"675094","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19128226
"675095","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,16259400
"675096","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,8578096
"675097","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,21804858
"675098","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18747017
"675099","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18158659
"675100","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,17082634
"675101","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,29394990
"675102","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,22100514
"675103","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9024877
"675104","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,16482943
"675105","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,15256677
"675106","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,22566126
"675107","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9823331
"675108","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20150743
"675109","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,16595550
"675110","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,24223076
"675111","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,17295026
"675112","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19398696
"675113","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20398239
"675114","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9404538
"675115","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18270897
"675116","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18273459
"675117","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20151945
"675118","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,14826868
"675119","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,9741100
"675120","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,31312288
"675121","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,12116901
"675122","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,16418888
"675123","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20486694
"675124","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,8975535
"675125","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,10693652
"675126","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,16213650
"675127","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,16667772
"675128","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18784636
"675129","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20261762
"675130","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,22207789
"675131","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,7110556
"675132","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,33407730
"675133","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,21157044
"675134","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19833246
"675135","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18552552
"675136","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,18112916
"675137","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,20734225
"675138","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,8598386
"675139","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,13019898
"675140","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,10026655
"675141","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,22014563
"675142","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,14054226
"675143","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,6168428
"675144","E21","E21",2,"mitoxantrone","treated",1,"5","2A1",5,21,19462042
