"","feature","plate","F_r","P_r","F_c","P_c","Channel","Channel_color","feature_type","P_r_log","P_c_log"
"36","ObjectAvgInten_NUC_C2","2_C2_3",1.39302425032091,0.245115873383592,0.674674537462769,0.811124042844331,"NUC_C2","panelC2","int",-1.40602422765814,-0.209334286076228
"37","ObjectVarInten_NUC_C2","1_C2_1",1.81830020779999,0.111077356829079,2.2172750215722,0.0401630415747874,"NUC_C2","panelC2","int",-2.19752841202759,-3.21480807004253
"38","ObjectVarInten_NUC_C2","1_C2_2",2.56717142574037,0.0282650703031148,1.01762273080648,0.485865732862159,"NUC_C2","panelC2","int",-3.56612850157283,-0.721822963082132
"39","ObjectVarInten_NUC_C2","1_C2_3",6.33703215467449,0.000137854668044354,4.65317469944255,0.000541634816091025,"NUC_C2","panelC2","int",-8.88931055785161,-7.52091855466012
"40","ObjectVarInten_NUC_C2","2_C2_1",9.76357283569098,5.25845913752754e-06,7.23139381008364,2.08041161153868e-05,"NUC_C2","panelC2","int",-12.1556725137634,-10.7803597006719
"41","ObjectVarInten_NUC_C2","2_C2_2",3.42252150623439,0.00672421274982599,2.55600659617553,0.0201400983260604,"NUC_C2","panelC2","int",-5.00204042356957,-3.90504250957551
"42","ObjectVarInten_NUC_C2","2_C2_3",1.33064953192505,0.274598379281284,0.649441108724765,0.83314419956416,"NUC_C2","panelC2","int",-1.29244568777317,-0.182548543076399
"43","ObjectSize_NUC_C2","1_C2_1",1.30632970030764,0.286930918803963,0.964830862903666,0.533341252946956,"NUC_C2","panelC2","non-int",-1.24851379322715,-0.628593810257082
"44","ObjectSize_NUC_C2","1_C2_2",0.398324210897688,0.953659710108191,0.380380356321075,0.983541134358156,"NUC_C2","panelC2","non-int",-0.0474483691655139,-0.016595817565866
"45","ObjectSize_NUC_C2","1_C2_3",2.16744975285108,0.058100283273944,1.73081126433655,0.112607966403891,"NUC_C2","panelC2","non-int",-2.84558473950889,-2.18384281618868
"46","ObjectSize_NUC_C2","2_C2_1",0.610829077976443,0.81775177716808,1.25385575276385,0.30812584646446,"NUC_C2","panelC2","non-int",-0.201196439324697,-1.17724698704264
"47","ObjectSize_NUC_C2","2_C2_2",2.24407485907245,0.0504984351650144,1.2743361089077,0.295563684679968,"NUC_C2","panelC2","non-int",-2.98581293001232,-1.21887095036457
"48","ObjectSize_NUC_C2","2_C2_3",0.478461973726732,0.912281083792953,1.537575608859,0.17030849266419,"NUC_C2","panelC2","non-int",-0.0918071304801663,-1.77014382371257
"49","RingTotalInten_TUB","1_C2_1",3.09333744392959,0.0114772842914874,0.656958708751381,0.826680977379043,"TUB","panelC2","int",-4.46738547605041,-0.190336417295442
"50","RingTotalInten_TUB","1_C2_2",1.61440779490234,0.162657125284732,0.710989616154714,0.777999659899291,"TUB","panelC2","int",-1.81611081955392,-0.251029191951282
"51","RingTotalInten_TUB","1_C2_3",2.98397641719688,0.013776771388624,0.851652453172114,0.641573670591721,"TUB","panelC2","int",-4.28477133775525,-0.443831260379544
