feature,plate,F_r,P_r,F_c,P_c,Channel,Channel_color,feature_type,P_r_log,P_c_log,marker,plate_rep,marker_sub,log_neg,plate_rep1,cell_struc
ObjectSize_NUC_A,2A1,3.345482485,0.007605182,1.00766528,0.494632512,NUC_A,panelA,non-int,-4.878925455,-0.703940192,Hoechst_panelA,plate2_rep1,Hoechst,4.878925455,p2.r1,DNA (Hoechst)
ObjectSize_NUC_A,2A2,4.136435759,0.002273044,2.052614992,0.056705751,NUC_A,panelA,non-int,-6.086635493,-2.869879647,Hoechst_panelA,plate2_rep2,Hoechst,6.086635493,p2.r2,DNA (Hoechst)
ObjectSize_NUC_A,2A3,4.908263353,0.0007818,1.529090291,0.173415724,NUC_A,panelA,non-int,-7.153911615,-1.752063537,Hoechst_panelA,plate2_rep3,Hoechst,7.153911615,p2.r3,DNA (Hoechst)
RingTotalInten_RNA,1A1,18.07486411,2.92E-08,2.589867513,0.018827259,RNA,panelA,int,-17.3497517,-3.972449498,SYTO14,plate1_rep1,SYTO14,17.3497517,p1.r1,RNA
RingTotalInten_RNA,1A2,11.83418451,1.10E-06,13.16869565,1.41E-07,RNA,panelA,int,-13.7196552,-15.77774708,SYTO14,plate1_rep2,SYTO14,13.7196552,p1.r2,RNA
RingTotalInten_RNA,1A3,56.83562397,7.03E-13,7.327331477,1.88E-05,RNA,panelA,int,-27.98342945,-10.88402107,SYTO14,plate1_rep3,SYTO14,27.98342945,p1.r3,RNA
RingTotalInten_RNA,2A1,36.3666374,4.90E-11,5.405931551,0.000187669,RNA,panelA,int,-23.73886965,-8.580833093,SYTO14,plate2_rep1,SYTO14,23.73886965,p2.r1,RNA
RingTotalInten_RNA,2A2,31.83639125,1.70E-10,4.178347057,0.001119495,RNA,panelA,int,-22.49467007,-6.794878024,SYTO14,plate2_rep2,SYTO14,22.49467007,p2.r2,RNA
RingTotalInten_RNA,2A3,37.50389254,3.67E-11,5.799093681,0.000112206,RNA,panelA,int,-24.02835861,-9.095170722,SYTO14,plate2_rep3,SYTO14,24.02835861,p2.r3,RNA
RingAvgInten_RNA,1A1,10.58310965,2.75E-06,1.896162601,0.07904337,RNA,panelA,int,-12.80375777,-2.537758592,SYTO14,plate1_rep1,SYTO14,12.80375777,p1.r1,RNA
RingAvgInten_RNA,1A2,11.97151622,1.00E-06,12.65352685,1.99E-07,RNA,panelA,int,-13.81533364,-15.42950479,SYTO14,plate1_rep2,SYTO14,13.81533364,p1.r2,RNA
RingAvgInten_RNA,1A3,61.77666177,3.15E-13,10.5825215,9.24E-07,RNA,panelA,int,-28.78543467,-13.89417747,SYTO14,plate1_rep3,SYTO14,28.78543467,p1.r3,RNA
RingAvgInten_RNA,2A1,28.74340324,4.39E-10,5.484339681,0.000169032,RNA,panelA,int,-21.54671427,-8.68542347,SYTO14,plate2_rep1,SYTO14,21.54671427,p2.r1,RNA
RingAvgInten_RNA,2A2,18.82478246,2.04E-08,2.789688097,0.012727229,RNA,panelA,int,-17.70949206,-4.364011537,SYTO14,plate2_rep2,SYTO14,17.70949206,p2.r2,RNA
RingAvgInten_RNA,2A3,13.71456632,3.19E-07,4.558669711,0.000623483,RNA,panelA,int,-14.95705627,-7.380188307,SYTO14,plate2_rep3,SYTO14,14.95705627,p2.r3,RNA
CircTotalInten_RNA,1A1,25.89669486,1.15E-09,2.951890738,0.009335569,RNA,panelA,int,-20.58712421,-4.673923603,SYTO14,plate1_rep1,SYTO14,20.58712421,p1.r1,RNA
CircTotalInten_RNA,1A2,13.13709627,4.60E-07,12.9949561,1.58E-07,RNA,panelA,int,-14.59290507,-15.6616414,SYTO14,plate1_rep2,SYTO14,14.59290507,p1.r2,RNA
CircTotalInten_RNA,1A3,80.76711082,2.35E-14,8.886631669,3.97E-06,RNA,panelA,int,-31.38001173,-12.43681556,SYTO14,plate1_rep3,SYTO14,31.38001173,p1.r3,RNA
CircTotalInten_RNA,2A1,46.41460093,4.88E-12,5.713210853,0.000125283,RNA,panelA,int,-26.04632319,-8.984937506,SYTO14,plate2_rep1,SYTO14,26.04632319,p2.r1,RNA
CircTotalInten_RNA,2A2,38.66614577,2.75E-11,5.135272283,0.000271464,RNA,panelA,int,-24.31580836,-8.211679383,SYTO14,plate2_rep2,SYTO14,24.31580836,p2.r2,RNA
CircTotalInten_RNA,2A3,40.16723649,1.92E-11,5.797169436,0.000112482,RNA,panelA,int,-24.67524991,-9.092713494,SYTO14,plate2_rep3,SYTO14,24.67524991,p2.r3,RNA
CircAvgInten_RNA,1A1,20.27305148,1.05E-08,2.107602315,0.050506181,RNA,panelA,int,-18.36976784,-2.985659556,SYTO14,plate1_rep1,SYTO14,18.36976784,p1.r1,RNA
CircAvgInten_RNA,1A2,11.985405,9.91E-07,12.21227908,2.71E-07,RNA,panelA,int,-13.82495975,-15.12136981,SYTO14,plate1_rep2,SYTO14,13.82495975,p1.r2,RNA
CircAvgInten_RNA,1A3,67.17426537,1.40E-13,7.420074926,1.70E-05,RNA,panelA,int,-29.59379447,-10.9832495,SYTO14,plate1_rep3,SYTO14,29.59379447,p1.r3,RNA
CircAvgInten_RNA,2A1,82.9013551,1.83E-14,8.55283006,5.43E-06,RNA,panelA,int,-31.63361313,-12.12364888,SYTO14,plate2_rep1,SYTO14,31.63361313,p2.r1,RNA
CircAvgInten_RNA,2A2,36.91171786,4.26E-11,4.811485281,0.000429599,RNA,panelA,int,-23.87866505,-7.752658837,SYTO14,plate2_rep2,SYTO14,23.87866505,p2.r2,RNA
CircAvgInten_RNA,2A3,22.9975572,3.38E-09,3.838237078,0.001941831,RNA,panelA,int,-19.50523337,-6.244124126,SYTO14,plate2_rep3,SYTO14,19.50523337,p2.r3,RNA
RingSpotTotalInten_RNA,1A1,0.665124353,0.772571617,0.644782128,0.837105668,RNA,panelA,int,-0.258030566,-0.177804971,SYTO14,plate1_rep1,SYTO14,0.258030566,p1.r1,RNA
RingSpotTotalInten_RNA,1A2,1.423295252,0.231877174,2.256938863,0.036992154,RNA,panelA,int,-1.46154747,-3.297049446,SYTO14,plate1_rep2,SYTO14,1.46154747,p1.r2,RNA
RingSpotTotalInten_RNA,1A3,1.44871485,0.221276031,1.828584555,0.091323223,RNA,panelA,int,-1.508344349,-2.393350162,SYTO14,plate1_rep3,SYTO14,1.508344349,p1.r3,RNA
RingSpotTotalInten_RNA,2A1,1.613811068,0.162838463,0.949009747,0.548014117,RNA,panelA,int,-1.814996595,-0.601454232,SYTO14,plate2_rep1,SYTO14,1.814996595,p2.r1,RNA
RingSpotTotalInten_RNA,2A2,2.774553328,0.019680527,0.984156912,0.51568389,RNA,panelA,int,-3.928125627,-0.662261317,SYTO14,plate2_rep2,SYTO14,3.928125627,p2.r2,RNA
RingSpotTotalInten_RNA,2A3,1.680112296,0.143857795,0.629345192,0.84997695,RNA,panelA,int,-1.938930005,-0.162546047,SYTO14,plate2_rep3,SYTO14,1.938930005,p2.r3,RNA
RingSpotAvgInten_RNA,1A1,2.50269589,0.031686881,1.555404459,0.163953782,RNA,panelA,int,-3.451852543,-1.808170711,SYTO14,plate1_rep1,SYTO14,3.451852543,p1.r1,RNA
RingSpotAvgInten_RNA,1A2,1.881992573,0.098612947,1.117333488,0.403517092,RNA,panelA,int,-2.316552721,-0.907536432,SYTO14,plate1_rep2,SYTO14,2.316552721,p1.r2,RNA
RingSpotAvgInten_RNA,1A3,0.368709645,0.965341902,1.548912815,0.166240599,RNA,panelA,int,-0.035272937,-1.794319151,SYTO14,plate1_rep3,SYTO14,0.035272937,p1.r3,RNA
RingSpotAvgInten_RNA,2A1,0.808653445,0.646437621,1.785091056,0.100237737,RNA,panelA,int,-0.436278573,-2.300210549,SYTO14,plate2_rep1,SYTO14,0.436278573,p2.r1,RNA
RingSpotAvgInten_RNA,2A2,2.15354576,0.059603207,2.167881732,0.044515669,RNA,panelA,int,-2.820045892,-3.111914034,SYTO14,plate2_rep2,SYTO14,2.820045892,p2.r2,RNA
RingSpotAvgInten_RNA,2A3,1.603851043,0.165894521,1.004555587,0.497389022,RNA,panelA,int,-1.796403106,-0.698382818,SYTO14,plate2_rep3,SYTO14,1.796403106,p2.r3,RNA
RingSpotTotalArea_RNA,1A1,1.011640729,0.47665179,0.48198565,0.947666264,RNA,panelA,non-int,-0.740969056,-0.053752881,SYTO14,plate1_rep1,SYTO14,0.740969056,p1.r1,RNA
RingSpotTotalArea_RNA,1A2,0.997017372,0.487996262,2.297318503,0.034033522,RNA,panelA,non-int,-0.717447533,-3.3804093,SYTO14,plate1_rep2,SYTO14,0.717447533,p1.r2,RNA
RingSpotTotalArea_RNA,1A3,2.378234172,0.039595231,1.659818342,0.131125493,RNA,panelA,non-int,-3.229046601,-2.031600449,SYTO14,plate1_rep3,SYTO14,3.229046601,p1.r3,RNA
RingSpotTotalArea_RNA,2A1,2.152864222,0.059677911,1.059825259,0.449767305,RNA,panelA,non-int,-2.818793332,-0.79902493,SYTO14,plate2_rep1,SYTO14,2.818793332,p2.r1,RNA
RingSpotTotalArea_RNA,2A2,3.073271728,0.011866141,1.135251874,0.389831444,RNA,panelA,non-int,-4.434066241,-0.942040829,SYTO14,plate2_rep2,SYTO14,4.434066241,p2.r2,RNA
RingSpotTotalArea_RNA,2A3,1.707451342,0.136683556,0.719517824,0.7700188,RNA,panelA,non-int,-1.990086839,-0.261340348,SYTO14,plate2_rep3,SYTO14,1.990086839,p2.r3,RNA
RingSpotAvgArea_RNA,1A1,1.660103978,0.149343592,1.053171953,0.455340943,RNA,panelA,non-int,-1.901505639,-0.786708816,SYTO14,plate1_rep1,SYTO14,1.901505639,p1.r1,RNA
RingSpotAvgArea_RNA,1A2,4.355966878,0.001660355,2.45793653,0.024523328,RNA,panelA,non-int,-6.400723696,-3.708130468,SYTO14,plate1_rep2,SYTO14,6.400723696,p1.r2,RNA
RingSpotAvgArea_RNA,1A3,1.213291844,0.338674805,1.695843482,0.121377764,RNA,panelA,non-int,-1.08271491,-2.108847582,SYTO14,plate1_rep3,SYTO14,1.08271491,p1.r3,RNA
RingSpotAvgArea_RNA,2A1,1.612046287,0.163375915,0.954023004,0.543344478,RNA,panelA,non-int,-1.811701508,-0.610011762,SYTO14,plate2_rep1,SYTO14,1.811701508,p2.r1,RNA
RingSpotAvgArea_RNA,2A2,2.282756667,0.047063696,1.565406321,0.160489948,RNA,panelA,non-int,-3.056253367,-1.829523968,SYTO14,plate2_rep2,SYTO14,3.056253367,p2.r2,RNA
RingSpotAvgArea_RNA,2A3,1.73694744,0.129342109,0.746462613,0.74440805,RNA,panelA,non-int,-2.045294379,-0.29516594,SYTO14,plate2_rep3,SYTO14,2.045294379,p2.r3,RNA
RingSpotCount_RNA,1A1,2.455188404,0.034487982,0.943017989,0.553618872,RNA,panelA,non-int,-3.36714435,-0.591278786,SYTO14,plate1_rep1,SYTO14,3.36714435,p1.r1,RNA
RingSpotCount_RNA,1A2,0.800497388,0.653645148,1.727803597,0.113336667,RNA,panelA,non-int,-0.425190663,-2.177392537,SYTO14,plate1_rep2,SYTO14,0.425190663,p1.r2,RNA
RingSpotCount_RNA,1A3,1.841337947,0.106394272,1.680976775,0.125309886,RNA,panelA,non-int,-2.240603543,-2.076965521,SYTO14,plate1_rep3,SYTO14,2.240603543,p1.r3,RNA
RingSpotCount_RNA,2A1,3.168436058,0.01013925,1.160119516,0.371420604,RNA,panelA,non-int,-4.59134127,-0.990420155,SYTO14,plate2_rep1,SYTO14,4.59134127,p2.r1,RNA
RingSpotCount_RNA,2A2,2.203338034,0.054400961,1.363971164,0.245685993,RNA,panelA,non-int,-2.911373465,-1.403701011,SYTO14,plate2_rep2,SYTO14,2.911373465,p2.r2,RNA
RingSpotCount_RNA,2A3,1.666202112,0.147650081,0.577214849,0.890167618,RNA,panelA,non-int,-1.91291012,-0.116345499,SYTO14,plate2_rep3,SYTO14,1.91291012,p2.r3,RNA
CircSpotTotalInten_RNA,1A1,11.67796442,1.23E-06,2.176640161,0.043709187,RNA,panelA,int,-13.60970706,-3.130196966,SYTO14,plate1_rep1,SYTO14,13.60970706,p1.r1,RNA
CircSpotTotalInten_RNA,1A2,10.37468404,3.23E-06,9.66194525,1.99E-06,RNA,panelA,int,-12.64280885,-13.12909025,SYTO14,plate1_rep2,SYTO14,12.64280885,p1.r2,RNA
