"","feature","plate","F_r","P_r","F_c","P_c","Channel","Channel_color","feature_type","P_r_log","P_c_log"
"115","CircSpotTotalArea_Lyso","1B1",0.831713615078963,0.626140132210046,0.710898070460722,0.778084959384905,"Lyso","panelB","non-int",-0.468181079562785,-0.250919558471659
"116","CircSpotTotalArea_Lyso","1B2",0.94667036716847,0.528287301397365,1.85708194730306,0.0859233544662147,"Lyso","panelB","non-int",-0.638115011827301,-2.45429960724469
"117","CircSpotTotalArea_Lyso","1B3",1.53350336832554,0.18912345245521,1.36639527969784,0.244448281718205,"Lyso","panelB","non-int",-1.66535528956296,-1.40875151915705
"118","CircSpotTotalArea_Lyso","2B1",0.789513524313349,0.663368189326798,2.20882998367736,0.0408743398938162,"Lyso","panelB","non-int",-0.410425104588424,-3.19725279928188
"119","CircSpotTotalArea_Lyso","2B2",0.922959814402712,0.547873698612211,1.34797043177052,0.253998659935134,"Lyso","panelB","non-int",-0.601710495583041,-1.37042628782345
"120","CircSpotTotalArea_Lyso","2B3",1.02192386420053,0.468776009185889,0.513644097215809,0.931062117302096,"Lyso","panelB","non-int",-0.757630216973593,-0.0714292828759378
"121","CircSpotAvgArea_Lyso","1B1",0.807718947938846,0.647262806416031,0.758919296781482,0.73240166217843,"Lyso","panelB","non-int",-0.435002874658193,-0.311426196688957
"122","CircSpotAvgArea_Lyso","1B2",1.01483684089486,0.474194828548833,2.45720859744506,0.0245594237556784,"Lyso","panelB","non-int",-0.746137011043295,-3.70665963869513
"123","CircSpotAvgArea_Lyso","1B3",1.11268162713951,0.403095562001358,0.954142258884369,0.543233622160853,"Lyso","panelB","non-int",-0.908581618591274,-0.610215808186197
"124","CircSpotAvgArea_Lyso","2B1",0.921051318008734,0.549465859684115,2.97773697150673,0.00889161482762416,"Lyso","panelB","non-int",-0.598808636851826,-4.72264660054981
"125","CircSpotAvgArea_Lyso","2B2",1.03377501252764,0.459805505702059,1.74857424661246,0.108399242802952,"Lyso","panelB","non-int",-0.776951692601086,-2.22193417521361
"126","CircSpotAvgArea_Lyso","2B3",1.39703145303409,0.243324218881037,0.460903527623884,0.957272390258166,"Lyso","panelB","non-int",-1.4133604908626,-0.0436672987095448
"127","CircSpotCount_Lyso","1B1",0.787536517284025,0.66511983062201,0.741623233876321,0.749046947357686,"Lyso","panelB","non-int",-0.407788058135633,-0.288953617378915
"128","CircSpotCount_Lyso","1B2",1.00852361029691,0.479055856797098,1.9926789160559,0.0643719141949603,"Lyso","panelB","non-int",-0.73593807710236,-2.74307785598272
"129","CircSpotCount_Lyso","1B3",1.31357788497032,0.283204986975736,1.21861957866605,0.330792823697221,"Lyso","panelB","non-int",-1.26158430794002,-1.10626300984899
"130","CircSpotCount_Lyso","2B1",0.986709039526494,0.496093037197751,2.53486908330507,0.021008846821196,"Lyso","panelB","non-int",-0.700991794851733,-3.86281165277123
"131","CircSpotCount_Lyso","2B2",0.904764306417697,0.563142522740976,1.49782553776937,0.185340759239826,"Lyso","panelB","non-int",-0.57422253413855,-1.68555920636157
"132","CircSpotCount_Lyso","2B3",1.16182046853897,0.37051736692962,0.494758083107596,0.941280461998852,"Lyso","panelB","non-int",-0.992854961040593,-0.0605141370463214
"133","TotalInten_Lyso","1B1",0.670807614550596,0.767708515969179,0.526711972850914,0.923458143235436,"Lyso","panelB","int",-0.264345154375135,-0.0796298044247607
